PROVIDER,LP,PROVIDED_LP_TOKENS,WITHDRAWN_LP_TOKENS,BALANCE
terra1jcfvehj8rjn3fmuc6avzq4c0hleg85hxp6f0w9,loop-loopr,1787956828,1787956000,828
terra1s7fa0yt57zncgv4yn2zk9czc5pcce52pfpyh3c,anc-ust,2163713,2163000,713
terra1cxmv65v2gpswfnag6hv0twxlnehahxsd0yevv8,loop-ust,32851932,32851000,932
terra1z4g0fzzxweedt46fcmdvcvws3chr7k2zpps99t,loop-loopr,1185495501,580778000,604717501
terra15yfuxx53yrc6n2uezkwu0f9ytk0n2ync56pd8j,loop-halo,1102413352,551206000,551207352
terra1tcrwj5cz79kd7axse378jtkxxceglvs94tqpj5,loop-ust,215568033,215568000,33
terra1x0t7hxk40n7tw6v2ut83h99skzek48sg9zv8nd,loop-mine,9952476654,9952476000,654
terra13ftjkad09mdxff40pnkp7nmcglmzkcx79nj9ee,twd-ust,18292806,18292000,806
terra1s2wcddd8jsa4nvse8hq3dffjd072znl9vzm20e,luna-ust,335021401,335021000,401
terra1mjjfm5y40eddjeclp3ucw9pc5wk5kf36mw8sdd,loop-ust,24424350,24424000,350
terra1vjvwjr092a2c46wq0shwxtzg9r9jnq7am2qs4m,luna-ust,1815479639,1815479000,639
terra1m5eaur6vmn4gafcgcexw0mxgsnqyvn9r9xwz2s,loop-ust,39241898,39241000,898
terra170e09edhu4gmyxxc799xjsexe25jjpj6zcdv0u,loop-mine,1853386650,978920000,874466650
terra1sqf5jtvx54tx4fr2lstqta4qlx6va2vvpezyte,mir-ust,4597340093,4597340000,93
terra1yh243hn8wyhh9kp3g263l798epgeqa8yvadkvt,loop-ust,9105404,5311000,3794404
terra1llt2gvj40waq4ph2f58lk0jmfchjw4jzue5s7h,loop-ust,1765616,1765000,616
terra1p9kuhadwu9hm98usjnkhj7nrm3yxha9euztfqs,loop-ust,9740286,9740000,286
terra1vu9sjkd4sw8d38hjcu7puafurcfm0kgarqtqym,anc-ust,4170794,4170000,794
terra14cqvgl5nnugzw5feczjde7ljza5dduqcdmm3yj,mine-ust,12167328,12167000,328
terra1j2nnfnkxk9d7jxz5d8halt2n3crnpslkktkkrr,loop-ust,193163458,193163000,458
terra1hftt75cflcxv32p09a5eqlw7yywa265fd7kyz6,bluna-luna,1996539,1996000,539
terra120s9ntguta2lszw9sgz9jcfasj05wgsaus0n60,loopr-ust,12067478,12067000,478
terra1u6360vhfrsusfatpkd3y3vlhp6hm8ce54rmqhl,loop-ust,9027426,9027000,426
terra1jvjftfswgnn37leu7zwkgnl7efkamhr20vuz5a,loop-ust,54841935,54841000,935
terra1ugherffqpk2sjduhglpa78xmmjg2vvlwyns4cw,mine-ust,201515344,201515000,344
terra1d8d4r428j4zgu7j9e60r70afctmzdjdjr97q24,bluna-luna,36435556,36435000,556
terra10tv6kn75xt063k8vy37vm7qeud6p70sgq5tcxq,loop-ust,434579034,434579000,34
terra1fg2mq7x9au84kxv823axrpc2nj55ppd33kk670,loop-ust,163811357,163811000,357
terra1dwld9rw50vjgkxpga2ha38ey2fxya07lw6rxm6,mir-ust,37942303,37942000,303
terra1f82k6vhrayr40jklre8pjqw002zeq5hww0u0ex,loop-ust,410289271,410289000,271
terra1dzqtx86sq3ddtk23m53vxf6tkkwlyp5slvssum,loop-loopr,35203738980,35203738000,980
terra1rjncy8eg2h4lnkssy9m3cyr8zququ3rt060en5,mir-ust,41099417,41099000,417
terra15xqc67n7dmtfr6xll78ev87yf6uw5hc9mvtk5q,mine-ust,1283682012,1283682000,12
terra1dyqjymav9pkek26l3mfh4uuf3kr7s9c7ds4ttk,loop-loopr,510180908,510180000,908
terra14qynwtnkzh39e0kg4umtxea0ksculew3y0n2xn,loop-ust,4467974,4467000,974
terra1tcr32yuyvvqq0upwd8wntyj6gv0062yexy0h6g,loop-ust,23309327,23309000,327
terra10f8r5czdrcfd7q8a9z8srf3zs4rmvkjguq3sxw,loop-anc,549660419,549660000,419
terra14dj3ryz6y5ylrxx8v6egfra3zary4anyweh0rj,loop-ust,205246807,205246000,807
terra1hhchj94dzn3yaxmvk4atd3rnfycly3cswwa4nu,loop-luna,13783573,13783000,573
terra16ql2tygdk4yec2shamf9qvd657fmnnqmndung7,aust-ust,2225428200,2225428000,200
terra1y0n5eadvy7gwd4dkk7m9k7wvqy46gc32rpckgw,aust-ust,22321310,22321000,310
terra1594swgzfhqa3npdapwy8fztsu0a9t3npj5rwrz,loop-ust,883545,883000,545
terra12gq62s3m4y9r3whrdcy5ltl9av5zl6a29eejkr,loop-ust,62842440,62842000,440
terra17sx6fhmvkgl33yrevn3cwh3d7ysu53rqaa7khm,loop-loopr,30692473217,30692473000,217
terra1zprx639l8nrlv2vdlqxlp2gf9rak7vlsuqnhg4,loop-ust,2403892,2403000,892
terra1znlw7teqlha8dku2v8t5trfrev8schds8le5wt,loop-ust,281489699,281489000,699
terra1ql5dprxywv3xexjr6ycj8dcqmkyvqnagh7mq7h,loop-ust,101719276,101719000,276
terra1s3hr7ayug5lr02lthhs644f5agd0wac72kqg6m,loop-ust,2197355,2197000,355
terra1qe7f6hg7k82nx7rs7v79dhl239ug20aqnk6a25,mir-ust,214178951,90000000,124178951
terra1n7l4ugz28n9xw3f973x7h39nhjssx0z2uv5qlt,loop-mine,344095360,344095000,360
terra1ljhyy88c7epkz33mpq6s5msze7ts0js5nqzt4p,loop-mir,64530915,64530000,915
terra1ydnvhywcgntep2rvuaqmkpaw2ysm9hjj44h8z9,aust-ust,367720778,367720000,778
terra1y5czlug5kqwr5c9zrugftyvjgk456tqe43a4se,loop-ust,112109007,112109000,7
terra1a7lcv5s2j45294tylzldcmd0r0gew0a6pmlezy,loop-ust,276002893,276002000,893
terra1nv7snprr7xxn6a0afhqlh4x05lnw5sxqgrl6w7,luna-ust,2468411,2468000,411
terra1geymktg2d4r8aws6mkhf9v6tl0p4kykhc0mn3f,loop-ust,487292420,487292000,420
terra1yx78n7w5xuh8xgyj793vehvxkjgejh7sgx4fyu,loop-ust,6050140571,6050140000,571
terra1e6r5k7hwzymwlp6fj9mztz0jvhfqvsp3mpcdkr,loop-loopr,114554128824,55057671000,59496457824
terra18lshgz2pvwrakja6q3yvm5pjdsq2ca9lnqtwrx,aust-ust,7892318874,7892318000,874
terra1h9sdfgnmj2v554nuqljdxkunh6nhjr27xyn76d,luna-aust,1497816264,1497816200,64
terra166sl2cla5nntrkys8gyset568x54xwxv5z7kkw,luna-ust,6891846,6891000,846
terra155jreja2aqrzcjy0cnu7s3q3k4c9grrztt38gd,luna-ust,3305647972,3305647000,972
terra12kcxk8g7wda3y0sae8r49jvf4kpemjr5aq22vh,loop-loopr,7466331724,7466331000,724
terra1a0ezcjtlwfpfk53z99zz99va3ld0ss8agjx8es,stt-ust,388437827,388437000,827
terra1zhjhuuu9zuptqyrjwc6vlspx8l9n5vq7rl9j6l,stt-ust,13098161457,13098161000,457
terra1c5ppmyr8fdspylexuhvlg4tnyt9wxzuu97sg5a,mine-ust,74629219944,74629219000,944
terra10kprcztvmwmmxyl6a7fsv47f326h2npezd0v9t,loop-mine,11472059448,11472059000,448
terra1axg7jkrznt22mpzx7lnvtxsy2xfenjxd8q0lwx,aust-ust,89993560,89993000,560
terra1ad6nhtv7mth8x0klud62hxwy7vawc0elwdu0r7,loop-ust,518333418,518333000,418
terra1w238grtpkg24h89g98wjmcvkawzgw9zdwamdlj,loop-ust,47496007,47496000,7
terra1p6mgdudaxg5aymhweh492yr4tvhgvsupcfmfnv,loopr-ust,53097813,53097000,813
terra1372adthn8snqy4xprlv8y0wp9axykqlaaxpzdr,loop-loopr,7987535675,4741173000,3246362675
terra1q2xszma8532t35w95rky7xmvpyltscf4w00tsy,loop-ust,123359751,123359000,751
terra16k6qu89z30metgefqjclje04flql24r6l62q4h,loop-ust,3639758,3639000,758
terra1p3fdh9j0q2ncywteeaaxmh5t8j6hw2h4mas5py,loop-loopr,701396375,701396000,375
terra192795ae5wnzsgmmykkee5w58dxdczzmyxjeczj,loop-ust,63643063,63643000,63
terra1h4fp39fuk9w4x5797wq9ll3pd4nm5rartzag89,loop-loopr,3301293438,1642616000,1658677438
terra19lpa94aac0lhf88jyvlewzgjew8rmx54dl6uhd,loop-ust,23978082,23978000,82
terra188kp6m7ftda4lh2yd5j5apsmxklpc36hkd7cwg,loop-ust,35234034,35234000,34
terra1pvluccu93fqp2esgs9e42znn2trfss3r69zdx7,loop-ust,53660158,53660000,158
terra1sywn4djzpecyn02hhcteef6f38gy742rz0ykt3,loop-ust,143015989,133000000,10015989
terra1a3cfr8ufl97hxuyjx2luend23zc669dusd850r,bluna-luna,767539845,301969000,465570845
terra14yd8dqkdc82d4h8y5nwskwp06rkzqhhrkn374f,loop-ust,10516957,10516000,957
terra1xk06gn9pd3kz6j3g6pqa7tkwyx8vtaz7xax429,loop-loopr,12674157105,12674157000,105
terra13x9jqud9vpxm3rfc33hgafhzncnnm76ykaczdq,loop-ust,914487857,914487000,857
terra1ejtyqhmrtcaxcrzwlmjp9q6cjsmm2xd9na88rt,spec-ust,36175138,36175000,138
terra12xwxxmhew4tpxq2ezcuqjjqfyuhdltjves0j5c,loop-loopr,109377707670,109377707000,670
terra1fsexa94vaa6e45k2499weajrknp8hfwgf2mjtl,loopr-ust,63061218,63061000,218
terra1ee4f76a978cwwpe3lcdvc4g60swa5q62nu8qn8,loop-ust,11110073,11110000,73
